NOUN,NOUN_LEMMA,DERIV_TYPE,GENDER,VERB,VERB_LEMMA,TYPE_ONTO,TYPE_REL,EXAMPLE_N,EXAMPLE_V,V_TRANS,V_DYN,V_DUR,V_TEL,V_POST_PHASE,V_ROL_SUBJ,V_ROL_OBJ,V_ROL_OBQ,N_DYN,N_DUR,N_TEL,N_POST_PHASE,N_ROL_ARG1,N_ROL_ARG2,N_ROL_ARG3,PLURALIA_TANTUM
abreuvage_2,abreuvage,age,m,abreuver_2,abreuver,evt,tsp,"On l'a vu avec cet article, assez peu contributif dans son contenu, qui est resté une journée entière tout en haut ""en première page"", la ribambelle de news plus ou moins fake, plus ou moins plagiées, qui ont accompagné (et continuent de le faire) l'affaire en question, les vidéos Brut vomies par-ci-par-là, l'abreuvage de pub So-Foot Ligue ou que sais-je...","Lors des débats, les représentants politiques nous abreuvent de chiffres contradictoires souvent invérifiables pour marquer artificiellement leur omniscience, leur soit-disant expertise...",y,y,y,n,n,agt,ben,tpc,y,y,n,n,ben,tpc,agt,n
abreuvement_1,abreuvement,ment,m,abreuver_1,abreuver,evt,tsp,La détérioration du pâturage et l'assèchement des points d'eau compliquent la situation alimentaire et l'abreuvement du bétail dans la majeure partie des régions.,Elle a abreuvé son cheval.,y,y,y,y,n,agt,ben,na,y,y,y,n,ben,agt,na,n
abreuvement_2,abreuvement,ment,m,abreuver_2,abreuver,evt,tsp,"J'aimerais une expliquation de la part d'ORANGE sur leur association via contact + avec de tel sites, sachant l'abreuvement de pub qu'il nous font sur leur sérieux et qualité d'opérateur de cette taille.","Lors des débats, les représentants politiques nous abreuvent de chiffres contradictoires souvent invérifiables pour marquer artificiellement leur omniscience, leur soit-disant expertise...",y,y,y,n,n,agt,ben,tpc,y,y,n,n,ben,tpc,agt,n
abreuvoir_1,abreuvoir,oir,m,abreuver_1,abreuver,nat,loc,"En bas, dans les cailloux de la rivière, luisait comme un miroir à main une petite flaque d'eau claire. C'était l'abreuvoir des fauves.",Elle a abreuvé son cheval.,y,y,y,y,n,agt,ben,na,na,na,na,na,na,na,na,n
abstenant_1,abstenant,ant,m,abstenir_se_1,abstenir,anm,agt,Les abstenants se joignent à la majorité.,C'est le moins que l'on puisse dire: 82 % des 18-35 ans se sont abstenus de voter dimanche.,n,y,y,n,n,agt,na,tpc,na,na,na,na,na,na,na,n
abstention_1,abstention,ion,f,abstenir_se_1,abstenir,evt,tsp,"Ce résultat dépend de ce qu'est objectivement le comportement évalué: on constate que tel acte, ou telle abstention a eu lieu.",C'est le moins que l'on puisse dire: 82 % des 18-35 ans se sont abstenus de voter dimanche.,n,y,y,n,n,agt,na,tpc,y,y,n,n,tpc,agt,na,n
abstention_2,abstention,ion,f,abstenir_se_1,abstenir,ppt,cau,"Dans le cas où la femme enceinte est dans l’incapacité de faire preuve d’abstention durant sa grossesse, on cherchera à limiter sa consommation d’alcool et à éviter une consommation excessive entrainant des pics d’alcoolémie nuisibles au fœtus.",C'est le moins que l'on puisse dire: 82 % des 18-35 ans se sont abstenus de voter dimanche.,n,y,y,n,n,agt,na,tpc,n,na,na,na,pvt,na,na,n
abstinence_1,abstinence,ance,f,abstenir_se_1,abstenir,evt,tsp,Son abstinence a duré 9 mois.,C'est le moins que l'on puisse dire: 82 % des 18-35 ans se sont abstenus de voter dimanche.,n,y,y,n,n,agt,na,tpc,y,y,n,n,agt,na,na,n
abstinence_2,abstinence,ance,f,abstenir_se_1,abstenir,ppt,cau,Les propriétaires commerciaux exhortés à faire preuve d'abstinence.,C'est le moins que l'on puisse dire: 82 % des 18-35 ans se sont abstenus de voter dimanche.,n,y,y,n,n,agt,na,tpc,n,na,na,na,pvt,na,na,n
abstinent_1,abstinent,ant,m,abstenir_se_1,abstenir,anm,agt,C’est ainsi que les cellules du foie d’un ivrogne sont mieux accoutumées à assimiler l’alcool que celles d’un abstinent.,C'est le moins que l'on puisse dire: 82 % des 18-35 ans se sont abstenus de voter dimanche.,n,y,y,n,n,agt,na,tpc,na,na,na,na,na,na,na,n
abstinente_1,abstinente,ante,f,abstenir_se_1,abstenir,anm,agt,C'est un journal de bord d'une abstinente qui nous fait comprendre qu'être sobre est plus subversif qu'on ne le croit.,C'est le moins que l'on puisse dire: 82 % des 18-35 ans se sont abstenus de voter dimanche.,n,y,y,n,n,agt,na,tpc,na,na,na,na,na,na,na,n
abstracteur_1,abstracteur,eur.m,m,abstraire_1,abstraire,anm,agt,Ces prétendus cliniciens deviennent ainsi des abstracteurs de délire et sont amenés à méconnaître une foule de traits significatifs du comportement du malade et de l'évolution de la maladie.,Les acteurs de la première étant par nature orientés à trouver le niveau adéquat de complexification quand il s'agit d'abstraire la réalité dans des modèles et des calculs.,y,y,y,y,n,agt,tpc,src,na,na,na,na,tpc,na,na,n
abstraction_1,abstraction,ion,f,abstraire_1,abstraire,cog*evt,tsp,Parler d'esprit ou d'opération mentale revient à procéder à une abstraction de ce qui les réalise.,Les acteurs de la première étant par nature orientés à trouver le niveau adéquat de complexification quand il s'agit d'abstraire la réalité dans des modèles et des calculs.,y,y,y,y,n,agt,tpc,src,y,y,y,n,tpc,src,agt,n
abstraction_2,abstraction,ion,f,abstraire_1,abstraire,ppt,res,"L'oeuvre de Poliakoff est d'une abstraction intégrale, qu'il ne veut ou ne peut expliquer",Les acteurs de la première étant par nature orientés à trouver le niveau adéquat de complexification quand il s'agit d'abstraire la réalité dans des modèles et des calculs.,y,y,y,y,n,agt,tpc,src,n,na,na,na,pvt,na,na,n
abstraction_3,abstraction,ion,f,abstraire_1,abstraire,ppt,cau,"En psychologie, la pensée abstraite désigne l'aptitude à faire preuve d'abstraction, mais aussi à manipuler les concepts dans des raisonnements.",Les acteurs de la première étant par nature orientés à trouver le niveau adéquat de complexification quand il s'agit d'abstraire la réalité dans des modèles et des calculs.,y,y,y,y,n,agt,tpc,src,n,na,na,na,pvt,na,na,n
accolade_1,accolade,ade,f,accoler_1,accoler,evt,tsp,"En images: Mbappé et Giroud, leur accolade fait le tour du monde...","L'abbé imposait la coule au novice qui allait ensuite accoler ses frères les novices, et s'installer à la place qu'il devait désormais occuper au chœur",y,y,y,n,n,agt,ben,na,y,y,n,n,ben,agt,na,n
accolade_2,accolade,ade,f,accoler_2,accoler,evt,tsp,"Leur musique, intense et swingante, réalise l'accolade de deux générations, d'où le titre Twenty.","Il a surtout accolé son nom à des sagas cinématographiques susceptibles de lui apporter un public déjà acquis, comme Harry Potter, Star Wars...",y,y,n,y,y,cau,thm,des,y,n,y,n,thm,des,cau,n
accolade_3,accolade,ade,f,accoler_2,accoler,cog,ins,"Les accolades doivent toujours être placées, même si le bloc ne contient qu'une seule instruction; cela permet d'améliorer la lisibilité et d'éviter bien des erreurs.","Il a surtout accolé son nom à des sagas cinématographiques susceptibles de lui apporter un public déjà acquis, comme Harry Potter, Star Wars...",y,y,n,y,y,cau,thm,des,na,na,na,na,na,na,na,n
accolement_1,accolement,ment,m,accoler_2,accoler,evt*sta,tsp,"Le nom Nokia est un nom emblématique, le nom Alcatel-Lucent était déjà le fruit de l'accolement de plusieurs noms, il était donc plus difficile à maintenir.","Il a surtout accolé son nom à des sagas cinématographiques susceptibles de lui apporter un public déjà acquis, comme Harry Potter, Star Wars...",y,y,n,y,y,cau,thm,des,y,n,y,y,thm,des,cau,n
accolement_2,accolement,ment,m,accoler_se_2,accoler,evt*sta,tsp,"Ce «bouchon» peut être lié soit à des débris ou concrétions qui obstruent le canal de la trompe, soit à un accolement de la muqueuse de l’utérus juste devant l’orifice","Depuis quelques années, le suffixe «porn» s'est accolé à tout un tas de choses",n,y,n,y,y,thm,na,des,y,n,y,y,des,thm,na,n
accolure_1,accolure,ure,f,accoler_2,accoler,evt,tsp,Elle permet l'emballage et le nouage voire la réparation et l'accolure de branches de plusieurs plantes.,"Il a surtout accolé son nom à des sagas cinématographiques susceptibles de lui apporter un public déjà acquis, comme Harry Potter, Star Wars...",y,y,n,y,y,cau,thm,des,y,n,y,n,thm,des,cau,n
accolure_2,accolure,ure,f,accoler_2,accoler,art,res,C'était un tout petit radeau fait de troncs de bananiers reliés par une accolure de bambous.,"Il a surtout accolé son nom à des sagas cinématographiques susceptibles de lui apporter un public déjà acquis, comme Harry Potter, Star Wars...",y,y,n,y,y,cau,thm,des,na,na,na,na,na,na,na,n
accommodage_1,accommodage,age,m,accommoder_1,accommoder,evt,tsp,Cours d'accommodage des restes (alimentation et développement durable) 1 fois par mois,"Elle lui a fait à manger, ou plutôt elle a accommodé les restes de midi, elle sait bien faire ce genre de choses.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
accommodage_2,accommodage,age,m,accommoder_se_4,accommoder,evt,tsp,"Cet aspect nécessite des accommodages entre les deux personnages, qui doivent apprendre à vivre vraiment ensemble, en acceptant le caractère et les choix de chacun.","On voit mal comment un libéralisme individualiste pourrait s'accommoder de ""la plus austère démocratie"".",n,y,n,y,n,exp,na,sti,y,n,y,n,sti,exp,na,n
accommodat_1,accommodat,conv_13,m,accommoder_se_3,accommoder,evt*sta,tsp,"Selon la définition qu'en donne Piaget, la phénocopie est une convergence entre un accommodat (phénotypique) et une mutation (génotypique) qui vient le remplacer.","Elle s'ébouriffa des cheveux, garda les yeux plissés le temps que sa vision s'accommode à la lumière du jour.",n,y,y,v,y,cau,na,ben,y,y,v,y,ben,cau,na,n
accommodation_1,accommodation,ion,f,accommoder_2,accommoder,evt*sta,tsp,"Dans la conception de Piaget, l'action adaptée est un équilibre entre une assimilation aux schèmes existants et une accommodation de ces schèmes à la situation.",Le président accommode son discours à la situation actuelle.,y,y,y,v,n,agt,pat,tpc,y,y,v,n,pat,tpc,agt,n
accommodation_2,accommodation,ion,f,accommoder_se_3,accommoder,evt*sta,tsp,"Regarder de près nécessite une accommodation du cristallin, lequel fonctionne de moins en moins bien avec l'âge et induisant la presbytie qui nécessitera un port de lunettes en vision de près et donc devant l'écran.","Elle s'ébouriffa des cheveux, garda les yeux plissés le temps que sa vision s'accommode à la lumière du jour.",n,y,y,v,y,cau,na,ben,y,y,v,y,ben,cau,na,n
accommodement_1,accommodement,ment,m,accommoder_1,accommoder,evt,tsp,"Première étape de sa réflexion, l'accommodement des restes, qui fait l'objet de subtiles transactions.","Elle lui a fait à manger, ou plutôt elle a accommodé les restes de midi, elle sait bien faire ce genre de choses.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
accommodement_2,accommodement,ment,m,accommoder_2,accommoder,evt*sta,tsp,"L’égale considération morale de chacun peut cependant impliquer que l’on procède à des accommodements raisonnables, ajustements et traitements adaptés aux besoins de certaines catégories de la population",Le président accommode son discours à la situation actuelle.,y,y,y,v,n,agt,pat,tpc,y,y,v,n,pat,tpc,agt,n
accommodement_3,accommodement,ment,m,accommoder_se_3,accommoder,evt*sta,tsp,"Simon, d'une voix douce, consigne dans ses carnets la chronique de leur accommodement à la catastrophe, laissant dans l'ombre les stratégies et les dates.","Elle s'ébouriffa des cheveux, garda les yeux plissés le temps que sa vision s'accommode à la lumière du jour.",n,y,y,v,y,cau,na,ben,y,y,v,y,ben,cau,na,n
accord_1,accord,conv_0,m,accorder_1,accorder,evt,tsp,"Le destinataire de vos courriels est la Direction de l'information légale et administrative, responsable du site service-public. fr, et le cas échéant (uniquement après accord de votre part) un organisme public compétent sur un sujet donné (Médiateur de la République, Ministère de l'Intérieur...).","Son auteur, pourtant retiré du monde, lui a accordé un entretien.",y,y,n,y,n,agt,tpc,ben,y,n,y,n,tpc,ben,agt,n
accord_2,accord,conv_0,m,accorder_2,accorder,sta,res,"Autant dire que l’abaissement de sa température ne restitue pas vraiment le tableau en lumière naturelle mais entreprend, en quelque sorte, un allègement de vernis pour retrouver l’accord des tons originels.","Jusqu'aux bijoux, Camilla Parker Bowles a accordé les couleurs de sa tenue à l'hippodrome d'Ascot.",y,y,n,y,n,agt,thm,thm,n,y,n,n,thm,thm,na,n
accord_3,accord,conv_0,m,accorder_se_4,accorder,cog*evt,tsp,"Un premier pas a déjà été franchi avec l'accord conclu entre l'Union européenne et le FMI, accordant au Fonds une tutelle partielle sur la politique économique de l'Union.",Safran s'est accordé avec Airbus sur la quantité de moteurs d'A320 à livrer en 2024.,n,y,n,y,n,agt,na,agt,y,n,y,n,agt,agt,na,n
accord_4,accord,conv_0,m,accorder_se_4,accorder,art*cog,res,les représentants de la CGT n'ont d'ailleurs pas signé les accords JACOB,Safran s'est accordé avec Airbus sur la quantité de moteurs d'A320 à livrer en 2024.,n,y,n,y,n,agt,na,agt,na,na,na,na,na,na,na,n
accordeur_1,accordeur,eur.m,m,accorder_3,accorder,anm,agt,Je suis devenu un des meilleurs accordeurs de pianos du monde.,Je suppose donc qu'il a accordé sa guitare un demi-ton en dessous pour faciliter les extensions,y,y,y,y,n,agt,pat,na,na,na,na,na,pat,na,na,n
accordeur_2,accordeur,eur.m,m,accorder_3,accorder,art,ins,Les accordeurs traditionnels disposent d'une entrée instrument (et parfois d'une sortie comme pour un effet de guitare).,Je suppose donc qu'il a accordé sa guitare un demi-ton en dessous pour faciliter les extensions,y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
accordeuse_1,accordeuse,euse,f,accorder_3,accorder,anm,agt,"Suzanne, la quarantaine, un physique ordinaire, est accordeuse de piano et partage sa vie avec Antoine dans un quartier populaire de Paris.",Je suppose donc qu'il a accordé sa guitare un demi-ton en dessous pour faciliter les extensions,y,y,y,y,n,agt,pat,na,na,na,na,na,pat,na,na,n
accordoir_1,accordoir,oir,m,accorder_3,accorder,art,ins,"Afin d'assurer la stabilité de l'harmonisation, les tuyaux ont été accordés à l'accordoir ou leurs calottes ont été soudées.",Je suppose donc qu'il a accordé sa guitare un demi-ton en dessous pour faciliter les extensions,y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
accotement_1,accotement,ment,m,accoter_se_1,accoter,art,pvt,"L'accotement, non pavé mais large, permet de circuler de façon sécuritaire.",Certaines des maisons qui l'entourent sont peintes de neuf. (Ce qui ne les empêche pas de s'accoter à des ruines).,n,n,y,n,n,pvt,na,des,na,na,na,na,na,na,na,n
accoudement_1,accoudement,ment,m,accouder_se_1,accouder,evt*sta,tsp,"Il s'en extrait parfois, et alors dépeint la pauvreté, l'accoudement à un bar crasseux où il n'y a plus que méfiance, peur, et solitude.",Il descendit la fenêtre de la voiture et s'accouda sur le rebord de celle -ci.,n,y,n,y,y,agt,na,des,y,n,y,y,des,agt,na,n
accoudoir_1,accoudoir,oir,m,accouder_se_1,accouder,art,des,Ses chaussettes sont parfaitement assorties avec les accoudoirs du canapé.,Il descendit la fenêtre de la voiture et s'accouda sur le rebord de celle -ci.,n,y,n,y,y,agt,na,des,na,na,na,na,na,na,na,n
accoutumance_1,accoutumance,ance,f,accoutumer_se_1,accoutumer,evt*sta,tsp,"Plusieurs jours consécutifs ce fut ainsi, une accoutumance lente et calme aux êtres et aux choses, dans l'attente d'une délivrance qu'elle espérait toujours prochaine et dont elle manifestait le désir en cognant à coups de bec aux barreaux de sa prison.","À force d'y réfléchir, je me rendis peu à peu cette idée plus familière; je m'y accoutumai enfin, au point de pouvoir en parler à Augustine, sans lui découvrir une répugnance plutôt vaincue que détruite.",n,y,y,v,y,exp,na,sti,y,y,v,y,sti,exp,na,n
acquéreur_1,acquéreur,eur.m,m,acquérir_1,acquérir,anm,agt,"Si vous avez vendu votre logement en viager et que votre acquéreur a décidé de revendre le bien, vous ne pouvez vous y opposer.",Foxconn a acquis un immense site dans la Silicon Valley indienne.,y,y,n,y,n,agt,thm,na,na,na,na,na,thm,na,na,n
acquéreure_1,acquéreure,eure,f,acquérir_1,acquérir,anm,agt,"C'est désormais chose faite grâce à l'acquéreure, Monique Pozzo-di-Borgo, veuve d'un grand patron de la restauration (""les bistrots romains"").",Foxconn a acquis un immense site dans la Silicon Valley indienne.,y,y,n,y,n,agt,thm,na,na,na,na,na,thm,na,na,n
acquéreuse_1,acquéreuse,euse,f,acquérir_1,acquérir,anm,agt,"Juste avant de partir, nous avons pris le thé avec l'acquéreuse, une parente des voisins de palier.",Foxconn a acquis un immense site dans la Silicon Valley indienne.,y,y,n,y,n,agt,thm,na,na,na,na,na,thm,na,na,n
acquisition_1,acquisition,ion,f,acquérir_1,acquérir,evt,tsp,L'acquisition du terrain en cours de bail n'est pas neutre fiscalement.,Foxconn a acquis un immense site dans la Silicon Valley indienne.,y,y,n,y,n,agt,thm,na,y,n,y,n,thm,agt,na,n
